nazev,mira,sleva,stara_cena,nova_cena,platnost
 Petite Ville Cabernet Sauvignon víno červené,750ml,-33%,89.90,59.90,31. 08. 2020
 Petite Ville Malbec víno červené,750ml,-33%,89.90,59.90,31. 08. 2020
 Petite Ville Merlot víno červené,750ml,-33%,89.90,59.90,31. 08. 2020
 Tesco Finest Médoc červené víno,0.75l,-28%,249.90,179.90,31. 08. 2020
 Lion's Gate Cabernet Sauvignon víno,750ml,-18%,109.90,89.90,18. 08. 2020
 Lion's Gate Cape Red,750ml,-33%,89.90,59.90,18. 08. 2020
 Lion's Gate Pinotage,750ml,-18%,109.90,89.90,18. 08. 2020
 Lion's Gate Shiraz,750ml,-18%,109.90,89.90,18. 08. 2020
 Tesco Finest Breede River Valley Pinotage víno červené suché,750ml,-28%,139.90,99.90,31. 08. 2020
 Casa Roscoli Chianti D.O.C.G. víno červené suché,750ml,-20%,99.90,79.90,25. 08. 2020
 Casa Roscoli Montepulciano d´Abruzzo DOC víno červené suché,750ml,-35%,69.90,44.90,31. 08. 2020
 Casa Roscoli Sangiovese IGT Puglia víno červené suché,750ml,-35%,69.90,44.90,31. 08. 2020
 Casa Roscoli Víno červené suché,750ml,-10%,49.90,44.90,31. 08. 2020
 Butterfly Cabernet Sauvignon červené polosladké víno,750ml,-20%,99.90,79.90,31. 08. 2020
 Butterfly Merlot červené polosladké víno,750ml,-20%,99.90,79.90,31. 08. 2020
 Fantasy Cabernet Sauvignon červené polosladké víno,1l,-39%,139.90,84.90,31. 08. 2020
 I Heart Cabernet Sauvignon červené víno,75cl,-25%,119.90,89.90,31. 08. 2020
 I Heart Merlot červené víno,75cl,-25%,119.90,89.90,31. 08. 2020
 La Nonna Tempranillo víno červené suché,750ml,-18%,54.90,44.90,31. 08. 2020
 Vicente Gandia Finca del Mar Cabernet Sauvignon červené víno suché,750ml,-25%,119.90,89.90,31. 08. 2020
 Vicente Gandia Finca del Mar Merlot červené víno suché,750ml,-25%,119.90,89.90,31. 08. 2020
 Vicente Gandia Finca del Mar Tempranillo červené víno suché,750ml,-25%,119.90,89.90,31. 08. 2020
 Vina Albali Gran Reserva Tempranillo červené víno,75cl,-35%,169.90,109.90,31. 08. 2020
 Vineyards World Wines Cabernet Sauvignon červené víno suché,750ml,-28%,69.90,49.90,18. 08. 2020
 Vineyards World Wines Merlot červené víno polosuché,750ml,-28%,69.90,49.90,18. 08. 2020
 Vineyards World Wines Shiraz červené víno suché,750ml,-28%,69.90,49.90,18. 08. 2020
 Steak Maker Malbec víno červené suché,750ml,-22%,179.90,139.90,31. 08. 2020
 Lovico Artsy Cabernet Sauvignon červené víno polosladké,0.75l,-20%,99.90,79.90,31. 08. 2020
 Lovico Artsy Merlot červené víno polosladké,0.75l,-20%,99.90,79.90,31. 08. 2020
 Mona's Red červené víno polosladké,0.75l,-29%,84.90,59.90,31. 08. 2020
 Habánské Sklepy Rulandské modré jakostní víno odrůdové suché růžové,0.75l,-14%,104.90,89.90,11. 08. 2020
 Habánské Sklepy Zweigeltrebe jakostní víno odrůdové suché růžové,0.75l,-38%,104.90,64.90,11. 08. 2020
 Ludwig André Rosé jakostní víno s přívlastkem pozdní sběr polosuché,0.75l,-25%,199.90,149.90,31. 08. 2020
 Víno Mikulov Frankovka jakostní víno odrůdové suché růžové,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Mikulov Svatý Urban růžové víno polosladké,0.75l,-28%,69.90,49.90,31. 08. 2020
 Víno Motýl Merlot Rosato suché růžové víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Znovín Znojmo Cabernet Sauvignon Rosé odrůdové růžové víno jakostní ročníkové polosuché,0.75l,-17%,144.90,119.90,31. 08. 2020
 Tesco Finest Garnacha Rosé Campo de Borja růžové víno suché,750ml,-20%,99.90,79.90,25. 08. 2020
 Fantasy Muscat Rose růžové polosladké víno,1l,-39%,139.90,84.90,31. 08. 2020
 Muscat rosé růžové polosladké víno,0.75l,-20%,99.90,79.90,31. 08. 2020
 Lion's Gate Rosé,75cl,-33%,89.90,59.90,25. 08. 2020
 Bohemia Sekt Brut,0.375l,-4%,83.90,79.90,31. 08. 2020
 Bohemia Sekt Brut,0.75l,-13%,149.90,129.90,18. 08. 2020
 Bohemia Sekt Brut jakostní šumivé víno bílé,0.2l,-16%,59.90,49.90,31. 08. 2020
 Bohemia Sekt Demi Sec,0.75l,-33%,149.90,99.90,11. 08. 2020
 Bohemia Sekt Demi Sec červené,0.75l,-13%,149.90,129.90,31. 08. 2020
 Bohemia Sekt Demi Sec jakostní šumivé víno bílé,0.2l,-16%,59.90,49.90,31. 08. 2020
 Bohemia Sekt Demi Sec jakostní šumivé víno bílé,0.375l,-4%,83.90,79.90,31. 08. 2020
 Bohemia Sekt Ice Demi Sec jakostní šumivé víno bílé,0.75l,-20%,149.90,119.90,31. 08. 2020
 Bohemia Sekt Rosé Brut jakostní šumivé víno růžové,0.75l,-13%,149.90,129.90,18. 08. 2020
 Bohemia Sekt Rose demi sec jakostní šumivé víno růžové,0.375l,-4%,83.90,79.90,31. 08. 2020
 Bohemia Sekt Rose demi sec jakostní šumivé víno růžové,0.75l,-13%,149.90,129.90,18. 08. 2020
 Motýl Demi Sec šumivé víno bílé,0.75l,-13%,109.90,94.90,31. 08. 2020
 Templářské Sklepy Čejkovice Saint Croix Sekt Brut Charmat šumivé víno bílé,0.75l,-28%,139.90,99.90,31. 08. 2020
 Templářské Sklepy Čejkovice Saint Croix Sekt Demi Sec Charmat šumivé víno bílé,0.75l,-21%,139.90,109.90,31. 08. 2020
 Templářské Sklepy Čejkovice Saint Croix Sekt Rose Demi Sec Charmat šumivé víno růžové,0.75l,-14%,139.90,119.90,31. 08. 2020
 Víno Mikulov Motýl Sekt jakostní šumivé víno bílé suché,0.75l,-5%,99.90,94.90,31. 08. 2020
 Lambrusco dell' Emilia I.G.T červené víno,75cl,-35%,69.90,44.90,31. 08. 2020
 Lambrusco dell' Emilia IGT bílé víno perlivé polosladké,750ml,-35%,69.90,44.90,31. 08. 2020
 Lambrusco dell' Emilia IGT růžové víno perlivé polosladké,750ml,-35%,69.90,44.90,31. 08. 2020
 Mionetto Prosecco DOC Spago Frizzante šumivé víno,750ml,-20%,199.90,159.90,31. 08. 2020
 Mionetto Prosecco DOC Treviso Brut šumivé víno,200ml,-22%,89.90,69.90,31. 08. 2020
 Mionetto Prosecco DOC Treviso Brut šumivé víno,750ml,-20%,239.90,189.90,31. 08. 2020
 Mionetto Prosecco DOC Treviso Extra Dry šumivé víno,750ml,-17%,229.90,189.90,31. 08. 2020
 Mionetto Prosecco DOC Treviso Vino Frizzante perlivé víno,750ml,-21%,189.90,149.90,31. 08. 2020
 Mionetto Rosé šumivé víno,750ml,-23%,259.90,199.90,31. 08. 2020
